Hash,Refatoração,Descrição
aeeda4202797a83d950db4c1a31656f60738648f,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method buildContext(String) at rm-datasource/src/main/java/io/seata/rm/datasource/undo/AbstractUndoLogManager.java:182}	{Method buildContext(String  CompressorType) at rm-datasource/src/main/java/io/seata/rm/datasource/undo/AbstractUndoLogManager.java:197}) CHANGE_SIGNATURE({io.seata.rm.datasource.undo.AbstractUndoLogManager buildContext(String)}  {io.seata.rm.datasource.undo.AbstractUndoLogManager buildContext(String  CompressorType)}),
da8631c132fbb60a23958958cd610c6468222e2a,EXTRACT_MOVE, EXTRACT_MOVE	{Method writeDataFile(byte[]) at server/src/main/java/io/seata/server/store/FileTransactionStoreManager.java:312}	{Method writeDataFileByBuffer(ByteBuffer) at server/src/main/java/io/seata/server/store/FileTransactionStoreManager.java:409}) EXTRACT_MOVE({io.seata.server.store.FileTransactionStoreManager WriteDataFileRunnable writeDataFile(byte[])}  {io.seata.server.store.FileTransactionStoreManager writeDataFileByBuffer(ByteBuffer)}),
da8631c132fbb60a23958958cd610c6468222e2a,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method flushOnCondition() at server/src/main/java/io/seata/server/store/FileTransactionStoreManager.java:345}	{Method flushOnCondition(FileChannel) at server/src/main/java/io/seata/server/store/FileTransactionStoreManager.java:567}) CHANGE_SIGNATURE({io.seata.server.store.FileTransactionStoreManager WriteDataFileRunnable flushOnCondition()}  {io.seata.server.store.FileTransactionStoreManager WriteDataFileRunnable flushOnCondition(FileChannel)}),
da8631c132fbb60a23958958cd610c6468222e2a,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method new(GlobalStatus  long) at server/src/main/java/io/seata/server/session/SessionCondition.java:30}	{Method new(long) at server/src/main/java/io/seata/server/session/SessionCondition.java:32}) CHANGE_SIGNATURE({io.seata.server.session.SessionCondition new(GlobalStatus  long)}  {io.seata.server.session.SessionCondition new(long)}),
da8631c132fbb60a23958958cd610c6468222e2a,INTERNAL_MOVE, INTERNAL_MOVE	{Method writeDataFile(byte[]) at server/src/main/java/io/seata/server/store/FileTransactionStoreManager.java:312}	{Method writeDataFile(byte[]) at server/src/main/java/io/seata/server/store/FileTransactionStoreManager.java:389}) INTERNAL_MOVE({io.seata.server.store.FileTransactionStoreManager WriteDataFileRunnable writeDataFile(byte[])}  {io.seata.server.store.FileTransactionStoreManager writeDataFile(byte[])}),
d159f6e564d6b2ee500ac2b6ffc172f283ce518a,RENAME, RENAME	{Method doGlobalRollBackTest(String) at server/src/test/java/com/alibaba/fescar/server/coordinator/DefaultCoreTest.java:155}	{Method doGlobalRollBackRollbackedTest(String) at server/src/test/java/com/alibaba/fescar/server/coordinator/DefaultCoreTest.java:192}) RENAME({com.alibaba.fescar.server.coordinator.DefaultCoreTest doGlobalRollBackTest(String)}  {com.alibaba.fescar.server.coordinator.DefaultCoreTest doGlobalRollBackRollbackedTest(String)}),
d159f6e564d6b2ee500ac2b6ffc172f283ce518a,RENAME, RENAME	{Method doGlobalCommitTest(String) at server/src/test/java/com/alibaba/fescar/server/coordinator/DefaultCoreTest.java:130}	{Method doGlobalCommitCommitTest(String) at server/src/test/java/com/alibaba/fescar/server/coordinator/DefaultCoreTest.java:128}) RENAME({com.alibaba.fescar.server.coordinator.DefaultCoreTest doGlobalCommitTest(String)}  {com.alibaba.fescar.server.coordinator.DefaultCoreTest doGlobalCommitCommitTest(String)}),
dac15bf62c50f88ffa30eb884a93890c8d371684,EXTRACT, EXTRACT	{Method xaRollback(String  long  String) at rm-datasource/src/main/java/io/seata/rm/datasource/xa/ConnectionProxyXA.java:100}	{Method xaRollback(XAXid) at rm-datasource/src/main/java/io/seata/rm/datasource/xa/ConnectionProxyXA.java:111}) EXTRACT({io.seata.rm.datasource.xa.ConnectionProxyXA xaRollback(String  long  String)}  {io.seata.rm.datasource.xa.ConnectionProxyXA xaRollback(XAXid)}),
738bf703988e8070f0b10731146661baaa26ec23,RENAME, RENAME	{Method lockAndExcute(LockRunnable) at server/src/main/java/io/seata/server/session/GlobalSession.java:593}	{Method lockAndExecute(LockRunnable) at server/src/main/java/io/seata/server/session/GlobalSession.java:604}) RENAME({io.seata.server.session.GlobalSession lockAndExcute(LockRunnable)}  {io.seata.server.session.GlobalSession lockAndExecute(LockRunnable)}),
738bf703988e8070f0b10731146661baaa26ec23,MOVE, MOVE	{Method assertGlobalSessionNotNull(String  boolean) at server/src/main/java/io/seata/server/coordinator/DefaultCore.java:104}	{Method assertGlobalSessionNotNull(String  boolean) at server/src/main/java/io/seata/server/coordinator/AbstractCore.java:113}) MOVE({io.seata.server.coordinator.DefaultCore assertGlobalSessionNotNull(String  boolean)}  {io.seata.server.coordinator.AbstractCore assertGlobalSessionNotNull(String  boolean)}),
738bf703988e8070f0b10731146661baaa26ec23,RENAME, RENAME	{Class MockResourceManagerInbound at server/src/test/java/io/seata/server/coordinator/DefaultCoreTest.java:336}	{Class MockCore at server/src/test/java/io/seata/server/coordinator/DefaultCoreTest.java:339}) RENAME({io.seata.server.coordinator.DefaultCoreTest MockResourceManagerInbound}  {io.seata.server.coordinator.DefaultCoreTest MockCore}),
738bf703988e8070f0b10731146661baaa26ec23,MOVE, MOVE	{Method asyncCommit(GlobalSession) at server/src/main/java/io/seata/server/coordinator/DefaultCore.java:320}	{Method asyncCommit() at server/src/main/java/io/seata/server/session/GlobalSession.java:661}) MOVE({io.seata.server.coordinator.DefaultCore asyncCommit(GlobalSession)}  {io.seata.server.session.GlobalSession asyncCommit()}),
738bf703988e8070f0b10731146661baaa26ec23,MOVE, MOVE	{Method isSaga(GlobalSession) at server/src/main/java/io/seata/server/coordinator/DefaultCore.java:468}	{Method isSaga() at server/src/main/java/io/seata/server/session/GlobalSession.java:116}) MOVE({io.seata.server.coordinator.DefaultCore isSaga(GlobalSession)}  {io.seata.server.session.GlobalSession isSaga()}),
738bf703988e8070f0b10731146661baaa26ec23,MOVE, MOVE	{Method queueToRetryRollback(GlobalSession) at server/src/main/java/io/seata/server/coordinator/DefaultCore.java:332}	{Method queueToRetryRollback() at server/src/main/java/io/seata/server/session/GlobalSession.java:673}) MOVE({io.seata.server.coordinator.DefaultCore queueToRetryRollback(GlobalSession)}  {io.seata.server.session.GlobalSession queueToRetryRollback()}),
738bf703988e8070f0b10731146661baaa26ec23,MOVE, MOVE	{Method queueToRetryCommit(GlobalSession) at server/src/main/java/io/seata/server/coordinator/DefaultCore.java:326}	{Method queueToRetryCommit() at server/src/main/java/io/seata/server/session/GlobalSession.java:667}) MOVE({io.seata.server.coordinator.DefaultCore queueToRetryCommit(GlobalSession)}  {io.seata.server.session.GlobalSession queueToRetryCommit()}),
738bf703988e8070f0b10731146661baaa26ec23,MOVE, MOVE	{Method removeAllBranches(GlobalSession) at server/src/main/java/io/seata/server/coordinator/DefaultCore.java:482}	{Method removeAllBranches(GlobalSession) at server/src/main/java/io/seata/server/transaction/saga/SagaCore.java:217}) MOVE({io.seata.server.coordinator.DefaultCore removeAllBranches(GlobalSession)}  {io.seata.server.transaction.saga.SagaCore removeAllBranches(GlobalSession)}),
738bf703988e8070f0b10731146661baaa26ec23,RENAME, RENAME	{Method lockAndExcute(LockCallable) at server/src/main/java/io/seata/server/session/GlobalSession.java:602}	{Method lockAndExecute(LockCallable) at server/src/main/java/io/seata/server/session/GlobalSession.java:613}) RENAME({io.seata.server.session.GlobalSession lockAndExcute(LockCallable)}  {io.seata.server.session.GlobalSession lockAndExecute(LockCallable)}),
738bf703988e8070f0b10731146661baaa26ec23,EXTRACT, EXTRACT	{Method doGlobalRollback(GlobalSession  boolean) at server/src/main/java/io/seata/server/coordinator/DefaultCore.java:367}	{Method branchRollback(GlobalSession  BranchSession) at server/src/main/java/io/seata/server/coordinator/DefaultCore.java:116}) EXTRACT({io.seata.server.coordinator.DefaultCore doGlobalRollback(GlobalSession  boolean)}  {io.seata.server.coordinator.DefaultCore branchRollback(GlobalSession  BranchSession)}),
9040c421fb9412c422e25215cd872410ba9271af,RENAME, RENAME	{Class ZKConfiguration at config/src/main/java/com/alibaba/fescar/config/ZKConfiguration.java:39}	{Class ZookeeperConfiguration at config/src/main/java/com/alibaba/fescar/config/ZookeeperConfiguration.java:39}) RENAME({com.alibaba.fescar.config.ZKConfiguration}  {com.alibaba.fescar.config.ZookeeperConfiguration}),
9040c421fb9412c422e25215cd872410ba9271af,RENAME, RENAME	{Class ZKRegisterServiceImpl at discovery/src/main/java/com/alibaba/fescar/discovery/registry/ZKRegisterServiceImpl.java:37}	{Class ZookeeperRegisterServiceImpl at discovery/src/main/java/com/alibaba/fescar/discovery/registry/ZookeeperRegisterServiceImpl.java:37}) RENAME({com.alibaba.fescar.discovery.registry.ZKRegisterServiceImpl}  {com.alibaba.fescar.discovery.registry.ZookeeperRegisterServiceImpl}),
35c66e7c1491e732259a0738881a0d31c3ac1e77,RENAME, RENAME	{Class RaftClusterMetaDataResponse at core/src/main/java/io/seata/core/protocol/client/RaftClusterMetaDataResponse.java:23}	{Class ClusterMetaDataResponse at core/src/main/java/io/seata/core/protocol/client/ClusterMetaDataResponse.java:23}) RENAME({io.seata.core.protocol.client.RaftClusterMetaDataResponse}  {io.seata.core.protocol.client.ClusterMetaDataResponse}),
35c66e7c1491e732259a0738881a0d31c3ac1e77,RENAME, RENAME	{Class RaftClusterMetaDataResponseCodec at serializer/seata-serializer-seata/src/main/java/io/seata/serializer/seata/protocol/transaction/RaftClusterMetaDataResponseCodec.java:24}	{Class ClusterMetaDataResponseCodec at serializer/seata-serializer-seata/src/main/java/io/seata/serializer/seata/protocol/transaction/ClusterMetaDataResponseCodec.java:24}) RENAME({io.seata.serializer.seata.protocol.transaction.RaftClusterMetaDataResponseCodec}  {io.seata.serializer.seata.protocol.transaction.ClusterMetaDataResponseCodec}),
35c66e7c1491e732259a0738881a0d31c3ac1e77,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method handle(RaftClusterMetaDataRequest  RpcContext) at core/src/main/java/io/seata/core/protocol/transaction/TCInboundHandler.java:101}	{Method handle(ClusterMetaDataRequest  RpcContext) at core/src/main/java/io/seata/core/protocol/transaction/TCInboundHandler.java:101}) CHANGE_SIGNATURE({io.seata.core.protocol.transaction.TCInboundHandler handle(RaftClusterMetaDataRequest  RpcContext)}  {io.seata.core.protocol.transaction.TCInboundHandler handle(ClusterMetaDataRequest  RpcContext)}),
35c66e7c1491e732259a0738881a0d31c3ac1e77,RENAME, RENAME	{Method getRaftCluster(RaftClusterMetaDataResponse) at server/src/main/java/io/seata/server/AbstractTCInboundHandler.java:353}	{Method getCluster(ClusterMetaDataResponse) at server/src/main/java/io/seata/server/AbstractTCInboundHandler.java:353}) RENAME({io.seata.server.AbstractTCInboundHandler getRaftCluster(RaftClusterMetaDataResponse)}  {io.seata.server.AbstractTCInboundHandler getCluster(ClusterMetaDataResponse)}),
35c66e7c1491e732259a0738881a0d31c3ac1e77,RENAME, RENAME	{Class RaftClusterMetaDataRequestCodec at serializer/seata-serializer-seata/src/main/java/io/seata/serializer/seata/protocol/transaction/RaftClusterMetaDataRequestCodec.java:22}	{Class ClusterMetaDataRequestCodec at serializer/seata-serializer-seata/src/main/java/io/seata/serializer/seata/protocol/transaction/ClusterMetaDataRequestCodec.java:22}) RENAME({io.seata.serializer.seata.protocol.transaction.RaftClusterMetaDataRequestCodec}  {io.seata.serializer.seata.protocol.transaction.ClusterMetaDataRequestCodec}),
35c66e7c1491e732259a0738881a0d31c3ac1e77,RENAME, RENAME	{Class RaftClusterMetaDataRequest at core/src/main/java/io/seata/core/protocol/client/RaftClusterMetaDataRequest.java:23}	{Class ClusterMetaDataRequest at core/src/main/java/io/seata/core/protocol/client/ClusterMetaDataRequest.java:23}) RENAME({io.seata.core.protocol.client.RaftClusterMetaDataRequest}  {io.seata.core.protocol.client.ClusterMetaDataRequest}),
35c66e7c1491e732259a0738881a0d31c3ac1e77,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method handle(RaftClusterMetaDataRequest  RpcContext) at server/src/main/java/io/seata/server/AbstractTCInboundHandler.java:341}	{Method handle(ClusterMetaDataRequest  RpcContext) at server/src/main/java/io/seata/server/AbstractTCInboundHandler.java:341}) CHANGE_SIGNATURE({io.seata.server.AbstractTCInboundHandler handle(RaftClusterMetaDataRequest  RpcContext)}  {io.seata.server.AbstractTCInboundHandler handle(ClusterMetaDataRequest  RpcContext)}),
da31cf1eb16c8e17b7380a1a0365768b3e4b633c,EXTRACT, EXTRACT	{Method putDataSource(DataSource  BranchType) at spring/src/main/java/io/seata/spring/annotation/datasource/DataSourceProxyHolder.java:60}	{Method createDsProxyByMode(BranchType  DataSource) at spring/src/main/java/io/seata/spring/annotation/datasource/DataSourceProxyHolder.java:96}) EXTRACT({io.seata.spring.annotation.datasource.DataSourceProxyHolder putDataSource(DataSource  BranchType)}  {io.seata.spring.annotation.datasource.DataSourceProxyHolder createDsProxyByMode(BranchType  DataSource)}),
8f96afa3d4df5128ed80edae988e044c27e2f81a,MOVE, MOVE	{Method isTimeoutGlobalStatus(GlobalStatus) at server/src/main/java/io/seata/server/session/SessionHelper.java:205}	{Method isTimeoutGlobalStatus(GlobalStatus) at server/src/main/java/io/seata/server/session/SessionStatusValidator.java:27}) MOVE({io.seata.server.session.SessionHelper isTimeoutGlobalStatus(GlobalStatus)}  {io.seata.server.session.SessionStatusValidator isTimeoutGlobalStatus(GlobalStatus)}),
e0c2f484f7fb9ff773f1f5c6558a9ba25887fd54,RENAME, RENAME	{Class Application at console/src/main/java/io/seata/console/Application.java:21}	{Class ConsoleApplication at console/src/main/java/io/seata/console/ConsoleApplication.java:21}) RENAME({io.seata.console.Application}  {io.seata.console.ConsoleApplication}),
a9cc6061a19fe7fa5c8abbda475e07e2698b4bc8,RENAME, RENAME	{Method beforeAll() at rm-datasource/src/test/java/io/seata/rm/datasource/undo/oracle/OracleUndoInsertExecutorTest.java:39}	{Method upperCase() at rm-datasource/src/test/java/io/seata/rm/datasource/undo/oracle/OracleUndoInsertExecutorTest.java:53}) RENAME({io.seata.rm.datasource.undo.oracle.OracleUndoInsertExecutorTest beforeAll()}  {io.seata.rm.datasource.undo.oracle.OracleUndoInsertExecutorTest upperCase()}),
a9cc6061a19fe7fa5c8abbda475e07e2698b4bc8,RENAME, RENAME	{Method init() at rm-datasource/src/test/java/io/seata/rm/datasource/undo/oracle/OracleUndoUpdateExecutorTest.java:39}	{Method upperCaseSQL() at rm-datasource/src/test/java/io/seata/rm/datasource/undo/oracle/OracleUndoUpdateExecutorTest.java:55}) RENAME({io.seata.rm.datasource.undo.oracle.OracleUndoUpdateExecutorTest init()}  {io.seata.rm.datasource.undo.oracle.OracleUndoUpdateExecutorTest upperCaseSQL()}),
a9cc6061a19fe7fa5c8abbda475e07e2698b4bc8,RENAME, RENAME	{Method beforeAll() at rm-datasource/src/test/java/io/seata/rm/datasource/undo/oracle/OracleUndoDeleteExecutorTest.java:39}	{Method upperCase() at rm-datasource/src/test/java/io/seata/rm/datasource/undo/oracle/OracleUndoDeleteExecutorTest.java:54}) RENAME({io.seata.rm.datasource.undo.oracle.OracleUndoDeleteExecutorTest beforeAll()}  {io.seata.rm.datasource.undo.oracle.OracleUndoDeleteExecutorTest upperCase()}),
a9cc6061a19fe7fa5c8abbda475e07e2698b4bc8,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method addEscape(String  Escape) at rm-datasource/src/main/java/io/seata/rm/datasource/ColumnUtils.java:145}	{Method addEscape(String  String  Escape) at rm-datasource/src/main/java/io/seata/rm/datasource/ColumnUtils.java:147}) CHANGE_SIGNATURE({io.seata.rm.datasource.ColumnUtils addEscape(String  Escape)}  {io.seata.rm.datasource.ColumnUtils addEscape(String  String  Escape)}),
a9cc6061a19fe7fa5c8abbda475e07e2698b4bc8,RENAME, RENAME	{Method buildUndoSQL() at rm-datasource/src/test/java/io/seata/rm/datasource/undo/oracle/OracleUndoUpdateExecutorTest.java:83}	{Method buildUndoSQLByUpperCase() at rm-datasource/src/test/java/io/seata/rm/datasource/undo/oracle/OracleUndoUpdateExecutorTest.java:37}) RENAME({io.seata.rm.datasource.undo.oracle.OracleUndoUpdateExecutorTest buildUndoSQL()}  {io.seata.rm.datasource.undo.oracle.OracleUndoUpdateExecutorTest buildUndoSQLByUpperCase()}),
60ce62abb90b030cf96fa54763c9444743eca4a1,PULL_UP, PULL_UP	{Method getServiceGroup(String) at discovery/seata-discovery-etcd3/src/main/java/io/seata/discovery/registry/etcd3/EtcdRegistryServiceImpl.java:272}	{Method getServiceGroup(String) at discovery/seata-discovery-core/src/main/java/io/seata/discovery/registry/RegistryService.java:95}) PULL_UP({io.seata.discovery.registry.etcd3.EtcdRegistryServiceImpl getServiceGroup(String)}  {io.seata.discovery.registry.RegistryService getServiceGroup(String)}),
60ce62abb90b030cf96fa54763c9444743eca4a1,PULL_UP, PULL_UP	{Method getServiceGroup(String) at discovery/seata-discovery-consul/src/main/java/io/seata/discovery/registry/consul/ConsulRegistryServiceImpl.java:248}	{Method getServiceGroup(String) at discovery/seata-discovery-core/src/main/java/io/seata/discovery/registry/RegistryService.java:95}) PULL_UP({io.seata.discovery.registry.consul.ConsulRegistryServiceImpl getServiceGroup(String)}  {io.seata.discovery.registry.RegistryService getServiceGroup(String)}),
60ce62abb90b030cf96fa54763c9444743eca4a1,PULL_UP, PULL_UP	{Method getServiceGroup(String) at discovery/seata-discovery-zk/src/main/java/io/seata/discovery/registry/zk/ZookeeperRegisterServiceImpl.java:299}	{Method getServiceGroup(String) at discovery/seata-discovery-core/src/main/java/io/seata/discovery/registry/RegistryService.java:95}) PULL_UP({io.seata.discovery.registry.zk.ZookeeperRegisterServiceImpl getServiceGroup(String)}  {io.seata.discovery.registry.RegistryService getServiceGroup(String)}),
f7eba5c4dfe6fe48178e08edb64a9826dd2b9b66,EXTRACT, EXTRACT	{Method forEach(Collection  GlobalSessionHandler) at server/src/main/java/io/seata/server/session/SessionHelper.java:249}	{Method forEach(Collection  GlobalSessionHandler  boolean) at server/src/main/java/io/seata/server/session/SessionHelper.java:276}) EXTRACT({io.seata.server.session.SessionHelper forEach(Collection  GlobalSessionHandler)}  {io.seata.server.session.SessionHelper forEach(Collection  GlobalSessionHandler  boolean)}),
93aa51a14609e48da2a20961e0df95c939ddfa2f,MOVE, MOVE	{Class RaftTaskUtil at server/src/main/java/io/seata/server/storage/raft/RaftTaskUtil.java:31}	{Class RaftTaskUtil at server/src/main/java/io/seata/server/raft/util/RaftTaskUtil.java:32}) MOVE({io.seata.server.storage.raft.RaftTaskUtil}  {io.seata.server.raft.util.RaftTaskUtil}),
35f9fe771da35e0d8ce143627b97cb46397748a9,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method queryCurrentRecords(Connection) at rm-datasource/src/main/java/io/seata/rm/datasource/undo/AbstractUndoExecutor.java:282}	{Method queryCurrentRecords(ConnectionProxy) at rm-datasource/src/main/java/io/seata/rm/datasource/undo/AbstractUndoExecutor.java:283}) CHANGE_SIGNATURE({io.seata.rm.datasource.undo.AbstractUndoExecutor queryCurrentRecords(Connection)}  {io.seata.rm.datasource.undo.AbstractUndoExecutor queryCurrentRecords(ConnectionProxy)}),
35f9fe771da35e0d8ce143627b97cb46397748a9,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method executeOn(Connection) at rm-datasource/src/main/java/io/seata/rm/datasource/undo/AbstractUndoExecutor.java:110}	{Method executeOn(ConnectionProxy) at rm-datasource/src/main/java/io/seata/rm/datasource/undo/AbstractUndoExecutor.java:110}) CHANGE_SIGNATURE({io.seata.rm.datasource.undo.AbstractUndoExecutor executeOn(Connection)}  {io.seata.rm.datasource.undo.AbstractUndoExecutor executeOn(ConnectionProxy)}),
35f9fe771da35e0d8ce143627b97cb46397748a9,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method dataValidationAndGoOn(Connection) at rm-datasource/src/main/java/io/seata/rm/datasource/undo/AbstractUndoExecutor.java:224}	{Method dataValidationAndGoOn(ConnectionProxy) at rm-datasource/src/main/java/io/seata/rm/datasource/undo/AbstractUndoExecutor.java:225}) CHANGE_SIGNATURE({io.seata.rm.datasource.undo.AbstractUndoExecutor dataValidationAndGoOn(Connection)}  {io.seata.rm.datasource.undo.AbstractUndoExecutor dataValidationAndGoOn(ConnectionProxy)}),
